Analyzer,University,City,State,Phone,Potential Data Science Masters URL,Has DS MS,,,
Jim,University of Massachusetts--Amherst,Amherst,MA,(413) 545-0111,https://ds.cs.umass.edu/masters-concentration-data-science,Yes,,,
Jim,University of Miami,Coral Gables,FL,(305) 284-2211,https://news.miami.edu/stories/2017/07/the-data-machine.html,No,,,
Jim,University of Michigan--Ann Arbor,Ann Arbor,MI,(734) 764-1817,https://www.engin.umich.edu/academics/graduate-degrees/options/,No,,,
Jim,University of Minnesota--Twin Cities,Minneapolis,MN,(612) 625-5000,https://onestop2.umn.edu/pcas/viewCatalogProgram.do?programID=13861,Yes,,,
Jim,University of North Carolina--Chapel Hill,Chapel Hill,NC,(919) 962-2211,https://chip.unc.edu/alumni/,No,,,
Jim,University of Notre Dame,Notre Dame,IN,(574) 631-5000,http://datascience.nd.edu/program/,Yes,,,
Jim,University of Pennsylvania,Philadelphia,PA,(215) 898-5000,https://dats.seas.upenn.edu/faqs/,Yes,,,
Jim,University of Pittsburgh,Pittsburgh,PA,(412) 624-4141,https://www.andrew.cmu.edu/user/mgrabmai/files/MGrabmair-CV-June2018.pdf,No,,,
Jim,University of Rochester,Rochester,NY,(585) 275-2121,https://www.sas.rochester.edu/dsc/graduate/ms.html,Yes,,,
Jim,University of San Diego,San Diego,CA,(619) 260-4600,http://senate.ucsd.edu/media/346771/agenda-01-15-19.pdf,No,,,
Jim,University of San Francisco,San Francisco,CA,(415) 422-5555,https://www.usfca.edu/arts-sciences/graduate-programs/data-science/faqs,Yes,,,
Jim,University of Southern California,Los Angeles,CA,(213) 740-2311,https://international.usc.edu/participating-masters-programs/,Yes,,,
Jim,University of Texas--Austin,Austin,TX,(512) 471-3434,https://catalog.gmu.edu/archives/2017-2018/pdf/2017-2018.pdf,No,,,
Jim,University of Virginia,Charlottesville,VA,(434) 924-0311,http://records.ureg.virginia.edu/preview_program.php?catoid=44&poid=5490&hl=data+science&returnto=search,Yes,,,
Jim,University of Washington,Seattle, WA,206-543-9198,https://www.datasciencemasters.uw.edu/,Yes,,,
Jim,University of Wisconsin--Madison,Madison,WI,(608) 263-2400,https://epd.wisc.edu/online-degree/engineering-data-analytics/,Yes,,,
Jim,Vanderbilt University,Nashville,TN,1 (615) 322-7311,https://www.vanderbilt.edu/datascience/academics/msprogram/program-details/,Yes,,,
Jim,Villanova University,Villanova,PA,(610) 519-4500,https://taxandbusinessonline.villanova.edu/resources-business/article-business/why-statisticians-are-in-demand.html,No,,,
Jim,Virginia Tech,Blacksburg,VA,(540) 231-6000,https://vtnews.vt.edu/articles/2018/11/Science-Tomwoteki_data_analysis_mastersprogram_arlington.html,No,,,
Jim,Wake Forest University,Winston-Salem,NC,(336) 758-5000,https://business.wfu.edu/newsroom/m-s-business-analytics-first-class/,No,,,
Jim,Washington University in St. Louis,St. Louis,MO,(314) 935-5000,https://biostatistics.wustl.edu/education/master-of-science-in-biostatistics-msibs/curriculum-and-degree-requirements/,Yes,,,
Jim,Worcester Polytechnic Institute,Worcester,MA,(508) 831-5000,https://www.wpi.edu/news/msdatasci,Yes,,,
Jim,Yale University,New Haven,CT,(203) 432-4771,https://statistics.yale.edu/academics/ma-en-route,No,,,
Jim,Yeshiva University,New York,NY,(212) 960-5400,https://blogs.yu.edu/news/yu-launches-masters-in-data-analytics-and-visualization/,No,,,
