,Course ID,Course Title,Course Description,University,Location,Course Title Stripped,Minor Cluster,Minor Cluster Name,Major Cluster,Major Cluster Name,Course Description Stripped
23,CME 305,Discrete Mathematics and Algorithms,"Topics: Basic Algebraic Graph Theory, Matroids and Minimum Spanning Trees, Submodularity and Maximum Flow, NP-Hardness, Approximation Algorithms, Randomized Algorithms, The Probabilistic Method, and Spectral Sparsification using Effective Resistances. Topics will be illustrated with applications from Distributed Computing, Machine Learning, and large-scale Optimization.",Stanford,"Stanford, California ","discrete, mathematics, algorithm",13,Theory,0,Math,"topic, algebraic, graph, theory, matroids, spanning, tree, submodularity, maximum, flow, approximation, algorithm, algorithm, method, sparsification, resistance, topic, application, computing, machine, learning, optimization"
24,COMPSCI 611,Advanced Algorithms,"Principles underlying the design and analysis of efficient algorithms. Topics to be covered include: divide-and-conquer algorithms, graph algorithms, matroids and greedy algorithms, randomized algorithms, NP-completeness, approximation algorithms, linear programming.",University of Massachusetts--Amherst,"Amherst, Massachusetts","advanced, algorithm",9,Algorithms,0,Math,"principle, design, analysis, algorithm, topic, algorithm, graph, algorithm, matroids, greedy, algorithm, algorithm, approximation, algorithm, programming"
25,C S 235,Data Structures and Algorithms,"Fundamental data structures and algorithms of computer science; basic algorithm analysis; recursion; sorting and searching; lists, stacks, queues, trees, hashing; object-oriented data abstraction.",Brigham Young ,"Provo, Utah","structure, algorithm",9,Algorithms,0,Math,"data, structure, algorithm, computer, science, algorithm, analysis, recursion, list, stack, queue, tree, data, abstraction"
26,CSOR W4246,Algorithms for Data Science,"Methods for organizing data, e.g. hashing, trees, queues, lists, priority queues. Streaming algorithms for computing statistics on the data. Sorting and searching. Basic graph models and algorithms for searching, shortest paths, and matching. Dynamic programming. Linear and convex programming. Floating point arithmetic, stability of numerical algorithms, Eigenvalues, singular values, PCA, gradient descent, stochastic gradient descent, and block coordinate descent. Conjugate gradient, Newton and quasi-Newton methods. Large scale applications from signal processing, collaborative filtering, recommendations systems, etc.",Columbia,"New York City, New York",algorithm,9,Algorithms,0,Math,"method, data, e.g, hashing, tree, queue, list, priority, queue, algorithm, statistic, data, sorting, searching, graph, model, algorithm, path, programming, programming, point, stability, algorithm, eigenvalue, value, pca, descent, gradient, descent, block, coordinate, descent, conjugate, gradient, newton, method, application, processing, filtering, recommendation, system"
27,685.621,Algorithms for Data Science,"This follow-on course to data structures (e.g., 605.202 Data Structures), providing a survey of computer algorithms, examines fundamental techniques in algorithm design and analysis, and develops problem-solving skills required in all programs of study involving data science. Topics include: advanced data structures for data science (tree structures, disjoint set data structures), algorithm analysis and computational complexity [recurrence relations, big-O notation, introduction to complexity classes (P, NP and NP-completeness)], data transformations (FFTs, principal component analysis), design paradigms (divide and conquer, greedy heuristic, dynamic programming), and graph algorithms (depth-first and breadth-first search, ordered and unordered trees). Advanced topics are selected from among the following: approximation algorithms, computational geometry, data preprocessing methods, data analysis, linear programming, multi-threaded algorithms, matrix operations, and statistical learning methods. The course will draw on applications from Data Science.",Johns Hopkins,"Baltimore, Maryland",algorithm,9,Algorithms,0,Math,"course, structure, e.g., data, structure, survey, computer, algorithm, technique, design, analysis, skill, program, study, data, science, topic, data, structure, data, science, structure, disjoint, data, structure, analysis, complexity, recurrence, relation, notation, introduction, complexity, class, p, ], data, transformation, ffts, component, analysis, design, paradigm, conquer, greedy, programming, graph, algorithm, search, tree, topic, following, approximation, algorithm, geometry, data, method, data, analysis, programming, algorithm, operation, learning, method, course, application, data, science"
28,CS 512,Data Structrues & Algorithms,The course studies a variety of useful algorithms and analyze their complexity; students will gain insight into principles and data-structures useful in algorithm design.,Rutgers,"New Brunswick, New Jersey","structrues, algorithm",9,Algorithms,0,Math,"course, study, variety, algorithm, complexity, student, principle, data-structures, design"
29,COMP 4581,Algorithms for Data Science,"This course introduces the design and analysis of algorithms within the context of data science. Topics include; asymptotic complexity and algorithm design techniques such as incremental, divide and conquer, dynamic programming, randomization, greedy algorithms, and advanced sorting techniques. Examples to illustrate techniques are drawn from multi-dimensional clustering (k-means and probabilistic), regression, decision trees, order statistics, data mining using apriori algorithms, and algorithms for generating combinatorial objects.",University of Denver,"Denver, Colorado",algorithm,9,Algorithms,0,Math,"course, design, analysis, algorithm, context, data, science, topic, complexity, design, technique, conquer, programming, randomization, greedy, algorithm, technique, example, technique, clustering, k-means, regression, decision, tree, order, statistic, data, mining, algorithm, algorithm, object"
30,COMPSCI 514,Algorithms for Data Science,"With the advent of social networks, ubiquitous sensors, and large-scale computational science, data scientists must deal with data that is massive in size, arrives at blinding speeds, and often must be processed within interactive or quasi-interactive time frames. This course studies the mathematical foundations of big data processing, developing algorithms and learning how to analyze them. We explore methods for sampling, sketching, and distributed processing of large scale databases, graphs, and data streams for purposes of scalable statistical description, querying, pattern mining, and learning.",University of Massachusetts--Amherst,"Amherst, Massachusetts",algorithm,9,Algorithms,0,Math,"advent, network, sensor, science, data, scientist, data, size, speed, time, frame, course, study, foundation, data, processing, algorithm, method, processing, scale, database, graph, data, stream, purpose, description, pattern, mining, learning"
31,DATA 516,Scalable Data Systems & Algorithms,"This course focuses on principles and algorithms for data management and analysis at scale. We’ll cover designs of and how to use traditional and modern big data systems, as well as the basics of cloud computing.",University of Washington,"Seattle, Washington","scalable, system, algorithm",9,Algorithms,0,Math,"course, principle, algorithm, data, management, analysis, scale, cover, design, data, system, basic, cloud, computing"
32,5440,Data Science Algorithms,"An applied and practical combination of discrete structures and computational algorithms that are relevant for data science applications and infrastructure. Topics include natural language processing, graph and network models, (stochastic) gradient descent, block coordinate descent, and (quasi-) newton methods along with an overview of more traditional topics such as sorting and searching, hashing, queues, trees, string processing, advanced data structures, recurrence relations, shortest paths, matching, and dynamic programming. The course will also cover streaming algorithms for computational statistics, e.g., Monte-Carlo Markov Chain, simulated annealing, and stability of numerical algorithms.",Vanderbilt University,"Nashville, Tennessee",algorithm,9,Algorithms,0,Math,"combination, structure, algorithm, data, science, application, infrastructure, topic, language, processing, graph, network, model, gradient, descent, block, coordinate, descent, method, overview, topic, queue, tree, processing, data, structure, recurrence, relation, path, matching, programming, course, algorithm, statistic, e.g., markov, chain, annealing, stability, algorithm"
33,CS 557,Artificial Intelligence,"This course covers core areas of Artificial Intelligence including perception, optimization, reasoning, learning, planning, decision--making, knowledge representation, vision and robotics.",Emory,"Atlanta, Georgia ","artificial, intelligence",11,,,,"course, area, intelligence, perception, optimization, planning, decision, making, representation, vision, robotics"
34,CS 5100,Foundations of Artificial Intelligence,"Introduces the fundamental problems, theories, and algorithms of the artificial intelligence field. Topics include heuristic search and game trees, knowledge representation using predicate calculus, automated deduction and its applications, problem solving and planning, and introduction to machine learning. Required course work includes the creation of working programs that solve problems, reason logically, and/or improve their own performance using techniques presented in the course. Requires experience in Java programming.",Northeastern,"Boston, Massachusetts","foundation, artificial, intelligence",11,,,,"introduces, problem, theory, algorithm, intelligence, field, topic, search, game, tree, knowledge, representation, calculus, deduction, application, problem, solving, planning, introduction, machine, course, work, creation, program, problem, reason, performance, technique, course, experience, java, programming"
35,CS 7180,Special Topics in Artificial Intelligence,Offers various topics on artificial intelligence. May be repeated up to two times.,Northeastern,"Boston, Massachusetts","special, topic, artificial, intelligence",11,,,,"offer, topic, intelligence, time"
36,MSDS 458,DL Artificial Intelligence and Deep Learning,"An introduction to the field of artificial intelligence, this course illustrates probability-rule-based generative models as well as discriminative models that learn from training data. The course reviews applications of artificial intelligence and deep learning in vision and language processing. Students learn best practices for building supervised learning models and, in particular, deep neural networks for classification and regression. Students also learn about feature engineering, autoencoders, and strategies of unsupervised and semi-supervised learning, as well as reinforcement learning. This is a project-based course with extensive programming assignments.",Northwestern,"Evanston, Illinois","dl, artificial, intelligence, deep, learning",2,Deep Learning,6,Machine Learning,"introduction, field, intelligence, course, model, model, data, course, application, intelligence, learning, vision, language, processing, student, practice, building, learning, model, network, classification, regression, student, feature, engineering, autoencoders, strategy, learning, reinforcement, learning, course, programming, assignment"
37,MSDS 458,DL Artificial Intelligence and Deep Learning,"An introduction to the field of artificial intelligence, this course illustrates probability-rule-based generative models as well as discriminative models that learn from training data. The course reviews applications of artificial intelligence and deep learning in vision and language processing. Students learn best practices for building supervised learning models and, in particular, deep neural networks for classification and regression. Students also learn about feature engineering, autoencoders, and strategies of unsupervised and semi-supervised learning, as well as reinforcement learning. This is a project-based course with extensive programming assignments.",Northwestern,"Evanston, Illinois","dl, artificial, intelligence, deep, learning",2,Deep Learning,6,Machine Learning,"introduction, field, intelligence, course, model, model, data, course, application, intelligence, learning, vision, language, processing, student, practice, building, learning, model, network, classification, regression, student, feature, engineering, autoencoders, strategy, learning, reinforcement, learning, course, programming, assignment"
38,CS 520,Artificial Intelligence,"This course is intended to provide a broad practical introduction to the concepts and methods in the field of artificial intelligence. ”AI” represents a very diverse field of problems and techniques - we will focus on topics and ideas with broad application. The main focus and takeaway from this course should be the systematic representation of knowledge and the manipulation of these representations for general problem solving. If a problem can be represented systematically, any number of algorithmic techniques can be leveraged against it. Many of these algorithms will seem natural if not utterly naive - but applying them to appropriately represented and realized problems lends them power and generalizability.",Rutgers,"New Brunswick, New Jersey","artificial, intelligence",11,,,,"course, introduction, concept, method, field, intelligence, ”, field, problem, technique, topic, idea, application, focus, takeaway, course, representation, knowledge, manipulation, representation, problem, solving, problem, number, technique, algorithm, problem, power, generalizability"
39,COMP 131,Artificial Intelligence,"History, theory, and computational methods of artificial intelligence. Basic concepts include representation of knowledge and computational methods for reasoning. One or two application areas will be studied, to be selected from expert systems, robotics, computer vision, natural language understanding, and planning.",Tufts,"Medford, Massachusetts","artificial, intelligence",11,,,,"history, theory, method, intelligence, concept, representation, knowledge, method, application, area, system, robotics, computer, vision, language, understanding, planning"
40,COMPSCI 683,Artificial Intelligence,"In-depth introduction to Artificial Intelligence focusing on techniques that allow intelligent systems to reason effectively with uncertain information and cope limited computational resources. Topics include: problem-solving using search, heuristic search techniques, constraint satisfaction, local search, abstraction and hierarchical search, resource-bounded search techniques, principles of knowledge representation and reasoning, logical inference, reasoning under uncertainty, belief networks, decision theoretic reasoning, representing and reasoning about preferences, planning under uncertainty using Markov decision processes, multi-agent systems, and computational models of bounded rationality.",University of Massachusetts--Amherst,"Amherst, Massachusetts","artificial, intelligence",11,,,,"introduction, intelligence, technique, system, reason, information, cope, resource, topic, search, search, technique, constraint, satisfaction, search, abstraction, search, search, technique, principle, knowledge, representation, reasoning, inference, uncertainty, belief, network, decision, reasoning, preference, uncertainty, decision, process, system, model, rationality"
41,CSCI 5511,Artificial Intelligence I,"Introduction to AI. Problem solving, search, inference techniques. Logic/theorem proving. Knowledge representation, rules, frames, semantic networks. Planning/scheduling. Lisp programming language. p",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","artificial, intelligence, i",11,,,,"introduction, problem, solving, search, inference, technique, logic/theorem, knowledge, representation, rule, frame, network, lisp, language, p"
42,CSCI 5512,Artificial Intelligence II,"Uncertainty in artificial intelligence. Probability as a model of uncertainty, methods for reasoning/learning under uncertainty, utility theory, decision-theoretic methods.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","artificial, intelligence, ii",11,,,,"uncertainty, intelligence, probability, model, uncertainty, method, uncertainty, utility, theory, method"
43,CSC 442,Artificial Intelligence,"Introduces fundamental principles and key applications of artificial intelligence, including heuristic search, automated reasoning, machine learning, neural networks and machine perception. Programming project include building autonomous software agenst in a virtual world. This course is a prerequisite for advanced AI courses",University of Rochester,"Rochester, New York","artificial, intelligence",11,,,,"introduces, principle, application, intelligence, search, reasoning, machine, learning, network, machine, perception, project, software, agenst, world, course, prerequisite, ai, course"
44,DSC 481,Artificial Intelligence & Deep Learning in Healthcare,"This course, taught by an in-industry data scientist, will focus on how to take machine learning and apply it to healthcare. The first half of the course will cover significant medical content, such as what medical data looks like, where it comes from, and how to handle it. In addition, we will cover the basics of machine learning algorithms such as SVMs, Decision Forests, and Neural Networks, and how to specifically apply these algorithms to medical data. In the second half we will go into deep learning, specifically in the case of using CNNs to process a variety of medical images for tasks such as classification, regression, and segmentation. Throughout the course we will have several guest lectures and project walkthroughs, designed to give specific examples of how to utilize the techniques taught in this course in a real-life setting. Having prior machine learning experience will be helpful, but is not a requirement. This course will be open to undergraduate students only with instructor permission.",University of Rochester,"Rochester, New York","artificial, intelligence, deep, learning, healthcare",1,Business,1,Topics,"course, in-industry, data, scientist, machine, learning, half, course, content, data, look, addition, basic, machine, algorithm, svms, decision, forest, network, algorithm, data, half, learning, case, cnns, variety, image, task, classification, regression, segmentation, course, lecture, project, walkthroughs, example, technique, course, setting, machine, experience, requirement, course, student, permission"
