,Course ID,Course Title,Course Description,University,Location,Course Title Stripped,Minor Cluster,Minor Cluster Name,Major Cluster,Major Cluster Name
17,EC ENGR 219,Large-Scale Data Mining: Models and Algorithms,"Introduction of variety of scalable data modeling tools, both predictive and causal, from different disciplines. Topics include supervised and unsupervised data modeling tools from machine learning, such as support vector machines, different regression engines, different types of regularization and kernel techniques, deep learning, and Bayesian graphical models. Emphasis on techniques to evaluate relative performance of different methods and their applicability. Includes computer projects that explore entire data analysis and modeling cycle: collecting and cleaning large-scale data, deriving predictive and causal models, and evaluating performance of different models.",UCLA,"Los Angeles, California",mining,10,Data Mining,1,Data Mining
18,EC EGNR 232E,Large-Scale Social and Complex Networks: Design and Algorithms,"Modeling and design of large-scale complex networks, including social networks, peer-to-peer file-sharing networks, World Wide Web, and gene networks. Modeling of characteristic topological features of complex networks, such as power laws and percolation threshold. Mining topology to design algorithms for various applications, such as e-mail spam detection, friendship recommendations, viral popularity, and epidemics. Introduction to network algorithms, computational complexity, and nondeterministic, polynomial-time completeness.",UCLA,"Los Angeles, California","design, algorithm",4,Algorithms,0,Math
19,COMPSCI 611,Advanced Algorithms,"Principles underlying the design and analysis of efficient algorithms. Topics to be covered include: divide-and-conquer algorithms, graph algorithms, matroids and greedy algorithms, randomized algorithms, NP-completeness, approximation algorithms, linear programming.",University of Massachusetts--Amherst,"Amherst, Massachusetts",algorithm,4,Algorithms,0,Math
20,CSC 482,Design & Analysis of Efficient Algorithms,"How does one design programs and ascertain their efficiency? Divide-and-conquer techniques, string processing, graph algorithms, mathematical algorithms. Advanced data structures such as balanced tree schemes. Introduction to NP-completeness and intractable combinatorial search, optimization, and decision problems.",University of Rochester,"Rochester, New York","design, analysis, algorithm",4,Algorithms,0,Math
21,CS 557,Cyber-Physical Systems: Networking and Algorithms,"Cyber-physical systems (CPS) are engineered systems that are built from, and depend upon, the seamless integration of computation and physical components. CPS can form a unifying modeling framework for many different scientific and engineering problems. Examples include, but are not limited to, internet of things (IoT), building design, civil infrastructure, energy, healthcare and personalized medicine, manufacturing, and transportation. This course will teach various topics in cyber-physical systems security. The goal is to expose students to fundamental security principles specific to cyber-physical systems and to apply them to a broad range of current and future security challenges. Students will work with various tools and techniques used by hackers to compromise computer systems or otherwise interfere with normal operations. Students will undertake a semester-long research project with the goal of technical publications. Lecture topics will include, but not limited to: 1. Introduction to Cyber-Physical Systems 2. Control Systems and Operations 3. Cyber-Physical System Security History and Threats 4. Cyber-Physical System Design and Architecture 5. Critical infrastructure protection (e.g., Power Systems) 6. Security in Cyber-Physical Systems 7. Cyber-Resilience in Cyber-Physical Systems 8. Privacy in Cyber-Physical Systems.",Illinois Institute of Tech,"Chicago, Illinois ","networking, algorithm",4,Algorithms,0,Math
22,CS 513/514,Advanced Algorithms,This course goes beyond 198:513 in introducing the student to new concepts and techniques used in the study of algorithms. It is intended to serve students specializing in a number of different areas within computer science.,Rutgers,"New Brunswick, New Jersey",algorithm,4,Algorithms,0,Math
23,CME 305,Discrete Mathematics and Algorithms,"Topics: Basic Algebraic Graph Theory, Matroids and Minimum Spanning Trees, Submodularity and Maximum Flow, NP-Hardness, Approximation Algorithms, Randomized Algorithms, The Probabilistic Method, and Spectral Sparsification using Effective Resistances. Topics will be illustrated with applications from Distributed Computing, Machine Learning, and large-scale Optimization.",Stanford,"Stanford, California ",algorithm,4,Algorithms,0,Math
24,COMPSCI 611,Advanced Algorithms,"Principles underlying the design and analysis of efficient algorithms. Topics to be covered include: divide-and-conquer algorithms, graph algorithms, matroids and greedy algorithms, randomized algorithms, NP-completeness, approximation algorithms, linear programming.",University of Massachusetts--Amherst,"Amherst, Massachusetts",algorithm,4,Algorithms,0,Math
25,C S 235,Data Structures and Algorithms,"Fundamental data structures and algorithms of computer science; basic algorithm analysis; recursion; sorting and searching; lists, stacks, queues, trees, hashing; object-oriented data abstraction.",Brigham Young ,"Provo, Utah",algorithm,4,Algorithms,0,Math
26,CSOR W4246,Algorithms for Data Science,"Methods for organizing data, e.g. hashing, trees, queues, lists, priority queues. Streaming algorithms for computing statistics on the data. Sorting and searching. Basic graph models and algorithms for searching, shortest paths, and matching. Dynamic programming. Linear and convex programming. Floating point arithmetic, stability of numerical algorithms, Eigenvalues, singular values, PCA, gradient descent, stochastic gradient descent, and block coordinate descent. Conjugate gradient, Newton and quasi-Newton methods. Large scale applications from signal processing, collaborative filtering, recommendations systems, etc.",Columbia,"New York City, New York","algorithm, science",4,Algorithms,0,Math
27,685.621,Algorithms for Data Science,"This follow-on course to data structures (e.g., 605.202 Data Structures), providing a survey of computer algorithms, examines fundamental techniques in algorithm design and analysis, and develops problem-solving skills required in all programs of study involving data science. Topics include: advanced data structures for data science (tree structures, disjoint set data structures), algorithm analysis and computational complexity [recurrence relations, big-O notation, introduction to complexity classes (P, NP and NP-completeness)], data transformations (FFTs, principal component analysis), design paradigms (divide and conquer, greedy heuristic, dynamic programming), and graph algorithms (depth-first and breadth-first search, ordered and unordered trees). Advanced topics are selected from among the following: approximation algorithms, computational geometry, data preprocessing methods, data analysis, linear programming, multi-threaded algorithms, matrix operations, and statistical learning methods. The course will draw on applications from Data Science.",Johns Hopkins,"Baltimore, Maryland","algorithm, science",4,Algorithms,0,Math
28,CS 512,Data Structrues & Algorithms,The course studies a variety of useful algorithms and analyze their complexity; students will gain insight into principles and data-structures useful in algorithm design.,Rutgers,"New Brunswick, New Jersey",algorithm,4,Algorithms,0,Math
29,COMP 4581,Algorithms for Data Science,"This course introduces the design and analysis of algorithms within the context of data science. Topics include; asymptotic complexity and algorithm design techniques such as incremental, divide and conquer, dynamic programming, randomization, greedy algorithms, and advanced sorting techniques. Examples to illustrate techniques are drawn from multi-dimensional clustering (k-means and probabilistic), regression, decision trees, order statistics, data mining using apriori algorithms, and algorithms for generating combinatorial objects.",University of Denver,"Denver, Colorado","algorithm, science",4,Algorithms,0,Math
30,COMPSCI 514,Algorithms for Data Science,"With the advent of social networks, ubiquitous sensors, and large-scale computational science, data scientists must deal with data that is massive in size, arrives at blinding speeds, and often must be processed within interactive or quasi-interactive time frames. This course studies the mathematical foundations of big data processing, developing algorithms and learning how to analyze them. We explore methods for sampling, sketching, and distributed processing of large scale databases, graphs, and data streams for purposes of scalable statistical description, querying, pattern mining, and learning.",University of Massachusetts--Amherst,"Amherst, Massachusetts","algorithm, science",4,Algorithms,0,Math
31,DATA 516,Scalable Data Systems & Algorithms,"This course focuses on principles and algorithms for data management and analysis at scale. We’ll cover designs of and how to use traditional and modern big data systems, as well as the basics of cloud computing.",University of Washington,"Seattle, Washington",algorithm,4,Algorithms,0,Math
32,5440,Data Science Algorithms,"An applied and practical combination of discrete structures and computational algorithms that are relevant for data science applications and infrastructure. Topics include natural language processing, graph and network models, (stochastic) gradient descent, block coordinate descent, and (quasi-) newton methods along with an overview of more traditional topics such as sorting and searching, hashing, queues, trees, string processing, advanced data structures, recurrence relations, shortest paths, matching, and dynamic programming. The course will also cover streaming algorithms for computational statistics, e.g., Monte-Carlo Markov Chain, simulated annealing, and stability of numerical algorithms.",Vanderbilt University,"Nashville, Tennessee","science, algorithm",4,Algorithms,0,Math
33,CS 557,Artificial Intelligence,"This course covers core areas of Artificial Intelligence including perception, optimization, reasoning, learning, planning, decision--making, knowledge representation, vision and robotics.",Emory,"Atlanta, Georgia ",intelligence,6,Theory,0,Math
34,CS 5100,Foundations of Artificial Intelligence,"Introduces the fundamental problems, theories, and algorithms of the artificial intelligence field. Topics include heuristic search and game trees, knowledge representation using predicate calculus, automated deduction and its applications, problem solving and planning, and introduction to machine learning. Required course work includes the creation of working programs that solve problems, reason logically, and/or improve their own performance using techniques presented in the course. Requires experience in Java programming.",Northeastern,"Boston, Massachusetts",intelligence,6,Theory,0,Math
35,CS 7180,Special Topics in Artificial Intelligence,Offers various topics on artificial intelligence. May be repeated up to two times.,Northeastern,"Boston, Massachusetts",intelligence,6,Theory,0,Math
36,MSDS 458,DL Artificial Intelligence and Deep Learning,"An introduction to the field of artificial intelligence, this course illustrates probability-rule-based generative models as well as discriminative models that learn from training data. The course reviews applications of artificial intelligence and deep learning in vision and language processing. Students learn best practices for building supervised learning models and, in particular, deep neural networks for classification and regression. Students also learn about feature engineering, autoencoders, and strategies of unsupervised and semi-supervised learning, as well as reinforcement learning. This is a project-based course with extensive programming assignments.",Northwestern,"Evanston, Illinois","intelligence, learning",5,Deep Learning,4,Machine Learning
37,MSDS 458,DL Artificial Intelligence and Deep Learning,"An introduction to the field of artificial intelligence, this course illustrates probability-rule-based generative models as well as discriminative models that learn from training data. The course reviews applications of artificial intelligence and deep learning in vision and language processing. Students learn best practices for building supervised learning models and, in particular, deep neural networks for classification and regression. Students also learn about feature engineering, autoencoders, and strategies of unsupervised and semi-supervised learning, as well as reinforcement learning. This is a project-based course with extensive programming assignments.",Northwestern,"Evanston, Illinois","intelligence, learning",5,Deep Learning,4,Machine Learning
38,CS 520,Artificial Intelligence,"This course is intended to provide a broad practical introduction to the concepts and methods in the field of artificial intelligence. ”AI” represents a very diverse field of problems and techniques - we will focus on topics and ideas with broad application. The main focus and takeaway from this course should be the systematic representation of knowledge and the manipulation of these representations for general problem solving. If a problem can be represented systematically, any number of algorithmic techniques can be leveraged against it. Many of these algorithms will seem natural if not utterly naive - but applying them to appropriately represented and realized problems lends them power and generalizability.",Rutgers,"New Brunswick, New Jersey",intelligence,6,Theory,0,Math
39,COMP 131,Artificial Intelligence,"History, theory, and computational methods of artificial intelligence. Basic concepts include representation of knowledge and computational methods for reasoning. One or two application areas will be studied, to be selected from expert systems, robotics, computer vision, natural language understanding, and planning.",Tufts,"Medford, Massachusetts",intelligence,6,Theory,0,Math
40,COMPSCI 683,Artificial Intelligence,"In-depth introduction to Artificial Intelligence focusing on techniques that allow intelligent systems to reason effectively with uncertain information and cope limited computational resources. Topics include: problem-solving using search, heuristic search techniques, constraint satisfaction, local search, abstraction and hierarchical search, resource-bounded search techniques, principles of knowledge representation and reasoning, logical inference, reasoning under uncertainty, belief networks, decision theoretic reasoning, representing and reasoning about preferences, planning under uncertainty using Markov decision processes, multi-agent systems, and computational models of bounded rationality.",University of Massachusetts--Amherst,"Amherst, Massachusetts",intelligence,6,Theory,0,Math
41,CSCI 5511,Artificial Intelligence I,"Introduction to AI. Problem solving, search, inference techniques. Logic/theorem proving. Knowledge representation, rules, frames, semantic networks. Planning/scheduling. Lisp programming language. p",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","intelligence, i",6,Theory,0,Math
42,CSCI 5512,Artificial Intelligence II,"Uncertainty in artificial intelligence. Probability as a model of uncertainty, methods for reasoning/learning under uncertainty, utility theory, decision-theoretic methods.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","intelligence, ii",6,Theory,0,Math
43,CSC 442,Artificial Intelligence,"Introduces fundamental principles and key applications of artificial intelligence, including heuristic search, automated reasoning, machine learning, neural networks and machine perception. Programming project include building autonomous software agenst in a virtual world. This course is a prerequisite for advanced AI courses",University of Rochester,"Rochester, New York",intelligence,6,Theory,0,Math
44,DSC 481,Artificial Intelligence & Deep Learning in Healthcare,"This course, taught by an in-industry data scientist, will focus on how to take machine learning and apply it to healthcare. The first half of the course will cover significant medical content, such as what medical data looks like, where it comes from, and how to handle it. In addition, we will cover the basics of machine learning algorithms such as SVMs, Decision Forests, and Neural Networks, and how to specifically apply these algorithms to medical data. In the second half we will go into deep learning, specifically in the case of using CNNs to process a variety of medical images for tasks such as classification, regression, and segmentation. Throughout the course we will have several guest lectures and project walkthroughs, designed to give specific examples of how to utilize the techniques taught in this course in a real-life setting. Having prior machine learning experience will be helpful, but is not a requirement. This course will be open to undergraduate students only with instructor permission.",University of Rochester,"Rochester, New York","intelligence, learning, healthcare",12,Business,2,Topics
45,CIS 521,AI,"This course investigates algorithms to implement resource-limited knowledge-based agents which sense and act in the world. Topics include, search, machine learning, probabilistic reasoning, natural language processing, knowledge representation and logic. After a brief introduction to the language, programming assignments will be in Python.",University of Pennsylvania,"Philadelphia, Pennsylvania",ai,3,Other,2,Topics
46,CSC 444,Knowledge Representation and Reasoning in AI,"The logical foundations of AI including first-order logic, reasoning, knowledge representation, planning, and probabilistic inference.",University of Rochester,"Rochester, New York","knowledge, representation, reasoning, ai",3,Other,2,Topics
47,CS 598,Advanced Bayesian Modeling,"This course explores practical methods and models for Bayesian data analysis. The major topics include Bayesian fundamentals, prior selection, posterior inference tools, hierarchical models, methods of Bayesian computation, model evaluation, and ordinary and generalized regression models. In particular, there will be an emphasis on computational implementation.",University of Illinois--Urbana,"Urbana, Illinois",modeling,9,Modeling,3,Statistics
48,STAT 251,Introduction to Bayesian Statistics,"The scientific method; conditional probability; Bayes' Theorem; conjugate distributions: Beta-binomial, Poisson-gamma, normal-normal; Gibbs sampling.",Brigham Young ,"Provo, Utah",introduction,2,Visualization,6,Visualization
49,STAT 451,Applied Bayesian Statistics,"Bayesian analogs of t-tests, regression, ANOVA, ANCOVA, logistic regression, and Poisson regression implemented using Nimble, Stan, JAGS and Proc MCMC.",Brigham Young ,"Provo, Utah",,3,Other,2,Topics
50,STA 601,Bayesian and Modern Statistical Data Analysis,"Principles of data analysis and modern statistical modeling. Exploratory data analysis. Introduction to Bayesian inference, prior and posterior distributions, predictive distributions, hierarchical models, model checking and selection, missing data, introduction to stochastic simulation by Markov Chain Monte Carlo using a higher level statistical language such as R or Matlab. Applications drawn from various disciplines",Duke,"Durham, North Carolina",analysis,3,Other,2,Topics
51,MATH 574,Bayesian Computational Statistics,"Rigorous introduction to the theory of Bayesian statistical inference and data analysis including prior and posterior distributions, Bayesian estimation and testing, Bayesian computation theories and methods, and implementation of Bayesian computation methods using popular statistical software.",Illinois Institute of Tech,"Chicago, Illinois ",,3,Other,2,Topics
52,625.665,Bayesian Statistics,"In Bayesian statistics, inference about a population parameter or hypothesis is achieved by merging prior knowledge, represented as a prior probability distribution, with data. This prior distribution and data are merged mathematically using Bayes’ rule to produce a posterior distribution, and this course focuses on the ways in which the posterior distribution is used in practice and on the details of how the calculation of the posterior is done. In this course, we discuss specific types of prior and posterior distributions, prior/posterior conjugate pairs, decision theory, Bayesian prediction, Bayesian parameter estimation and estimation uncertainty, and Monte Carlo methods commonly used in Bayesian statistical inference. Students will apply Bayesian methods to analyze and interpret several real-world data sets and will investigate some of the theoretical issues underlying Bayesian statistical analysis. R is the software that will be used to illustrate the concepts discussed in class.",Johns Hopkins,"Baltimore, Maryland",,3,Other,2,Topics
53,COM SCI 262A,Learning and Reasoning with Bayesian Networks,"The objective of this class is to provide an in depth exposition of knowledge representation, reasoning, and machine learning under uncertainty using the framework of Bayesian networks. Both theoretical underpinnings and practical considerations will be covered, with a special emphasis on constructing and learning graphical models, and on various exact and approximate inference algorithms. Additional topics include logical approaches to probabilistic inference, compilation techniques, sensitivity analysis, undirected graphical models, and statistical relational learning.",UCLA,"Los Angeles, California",learning,5,Deep Learning,4,Machine Learning
54,STA 567,Bayesian Statistics,"The Bayesian approach to statistical design and analysis can be viewed as a philosophical approach or as a procedure-generator. The use of Bayesian design and analysis is burgeoning. In this introduction to Bayesian methods, we consider basic examples of Bayesian thinking and formalism on which more complicated and comprehensive approaches are built. These include adjusting estimates using related information, the use of Bayes Factors in testing of hypotheses, the relationship of the prior and posterior distributions, and the key steps in a Bayesian analysis. We consider the Bayesian approach that requires a data likelihood (the sampling distribution) and a prior distribution. From these, the posterior distribution can be computed and used to inform statistical design and analysis. Applications of this technique are presented.",University at Buffalo,"Buffalo, New York",,3,Other,2,Topics
55,PUBH 7440,Introduction to Bayesian Analysis,"Introduction to Bayesian methods. Comparison with traditional frequentist methods. Emphasizes data analysis via modern computing methods: Gibbs sampler, WinBUGS software package.",University of Minnesota--Twin Cities,"Minneapolis, Minnesota ","introduction, analysis",2,Visualization,6,Visualization
56,PSY 716,Behavioral Decision Theo,"Examines the development of research in individual and group decision behavior. Major emphasis is given to theoretical developments and empirical research, with a range of articles assigned for each topic. The basic topic areas include: (1) decision problem structuring, (2) thinking about uncertainties, (3) risk taking, (4) dealing with conflicting values, and (5) combining individual judgments into a group decision.",Duke,"Durham, North Carolina","decision, theo",3,Other,2,Topics
57,UND 8,BEHAVIORAL DATA SCIENCE,"This course allows students to explore sources and types of behavioral data and empowers students to select appropriate tools for finding answers to questions about human behavior. Students will wrangle with data models and theories, like factor analysis, item response theory, centroid clustering models, recommender systems, and topic models, using a wide variety of data.. Throughout the course, students will develop questions related to behavioral data and generate appropriate analysis plans.",University of Notre Dame,"Notre Dame, Indiana",science,11,Parallel Computing,8,HPC
58,STAT 974,"Modern Regression for the Social, Behavioral and Biological Science","Function estimation and data exploration using extensions of regression analysis: smoothers, semiparametric and nonparametric regression, and supervised machine learning. Conceptual foundations are addressed as well as hands-on use for data analysis.",University of Pennsylvania,"Philadelphia, Pennsylvania","regression, science",9,Modeling,3,Statistics
59,ITEC-670,Database and Big Data,"This course introduces important database concepts, including data modeling, database design, data extraction and data analysis skills needed to transform raw data into useful business information and knowledge for decision making and problem solving. Topics include relational design, data warehousing, data mining, data visualization, data search, knowledge management, business intelligence, data querying, basic analytics and reporting. Crosslist:",American,"Washington, DC",database,7,Data Warehousing,5,Data Warehousing
60,STAT 420,Big Data Science 1,"Understand server cluster basics; use Apache Spark for data analysis; principles of data mining; regression, classification, and clustering in big data.",Brigham Young ,"Provo, Utah",science,11,Parallel Computing,8,HPC
61,STAT 421,Big Data Science 2,"Understand server cluster basics; use Apache Spark for data analysis; principles of data mining; regression, classification, and clustering in big data.",Brigham Young ,"Provo, Utah",science,11,Parallel Computing,8,HPC
62,IEOR E4721,Topics in Quantitative Finance: Big Data in Finance,"The vast proliferation of data and increasing technological complexities continue to transform the way industries operate and compete. Over the last two years, 90 percent of the data in the world has been created as a result of the creation of 2.5 quintillion bytes of data on a daily basis. Commonly referred to as big data, this rapid growth and storage creates opportunities for collection, processing and analysis of structured and unstructured data. Financial services, in particular, have widely adopted big data analytics to inform better investment decisions with consistent returns. In conjunction with big data, algorithmic trading uses vast historical data with complex mathematical models to maximize portfolio returns. The continued adoption of big data will inevitably transform the landscape of financial services. However, along with its apparent benefits, significant challenges remain in regards to big data’s ability to capture the mounting volume of data. The increasing volume of market data poses a big challenge for financial institutions. Along with vast historical data, banking and capital markets need to actively manage ticker data. Likewise, investment banks and asset management firms use voluminous data to make sound investment decisions. Insurance and retirement firms can access past policy and claims information for active risk management. The course will be a mix of Theory and practice with real big data cases in finance. We will invite guest lecturers mostly for real Big Data Finance Applications. We will give MATLAB, R or Python examples.",Columbia,"New York City, New York","finance, finance",12,Business,2,Topics
63,605.788,Big Data Processing Using Hadoop,"Organizations today are generating massive amounts of data that are too large and too unwieldy to fit in relational databases. Therefore, organizations and enterprises are turning to massively parallel computing solutions such as Hadoop for help. The Apache Hadoop platform, with Hadoop Distributed File System (HDFS) and MapReduce (M/R) framework at its core, allows for distributed processing of large data sets across clusters of computers using the map and reduce programming model. It is designed to scale up from a single server to thousands of machines, offering local computation and storage. The Hadoop ecosystem is sizable in nature and includes many subprojects such as Hive and Pig for big data analytics, HBase for real-time access to big data, Zookeeper for distributed transaction process management, and Oozie for workflow. This course breaks down the walls of complexity of distributed processing of big data by providing a practical approach to developing applications on top of the Hadoop platform. By completing this course, students will gain an in-depth understanding of how MapReduce and Distributed File Systems work. In addition, they will be able to author Hadoop-based MapReduce applications in Java and also leverage Hadoop subprojects to build powerful data processing applications.",Johns Hopkins,"Baltimore, Maryland","processing, hadoop",3,Other,2,Topics
64,PPUA 5262,Big Data for Cities,"Investigates the city and its spatial, social, and economic dynamics through the lens of data and visual analytics. Utilizes large public datasets to develop knowledge about visual methods for analyzing data and communicating results. Offers students an opportunity to develop a critical understanding of data structures, collection methodologies, and their inherent biases.",Northeastern,"Boston, Massachusetts",,3,Other,2,Topics
65,DS-GA 1004,Big Data,"This required course for the MS in Data Science should be taken in the first year of study. It covers methods and tools for automatic knowledge extraction from very large datasets. Methods include on-line learning, feature hashing, class embedding, distributed databases, map-reduce framework, CUDA GPU programming, and applications.",NYU,"New York City, New York",,3,Other,2,Topics
